id,nazwa,cena,skladniki,url
0,Syoss Curls&Waves,19,"Aqua (Water, Eau), Sodium Laureth Sulfate, Cocamidopropyl Betaine, Sodium Chloride, PEG-7 Glyceryl Cocoate, Hydrolyzed Keratin, Panthenol, Dimethicone, Sodium Benzoate, Parfum (Fragrance), Citric Acid, Amodimethicone, Guar Hydroxypropyltrimonium Chloride, PEG-40 Hydrogenated Castor Oil, Hydrogenated Castor Oil, Glycol Distearate, Laureth-4, PEG-120 Methyl Glucose Dioleate, Benzyl Salicylate, Hexyl Cinnamal, Laureth-23, Prunus Armeniaca (Apricot) Kernel Oil, Trideceth-10, Sodium Hydroxide, Citronellol, Tetramethyl Acetyloctahydronaphthalenes, Propylene Glycol, Limonene, Linalyl Acetate, Linalool, Phenoxyethanol, Sodium Salicylate",https://www.hebe.pl/syoss-szampon-do-wlosow-falowanych-i-kreconych-440-ml-000000000000376882.html
1,Dermedic Capilarte,49,"Aqua, Decyl Glucoside, Ammonium Lauryl Sulfate, Cocamidopropyl Hydroxysultaine, Cocamidopropyl Betaine, Polyquaternium-7, Laureth-9, Panthenol, Parfum, Potassium Sorbate, Sodium Benzoate, Citric Acid.",https://www.hebe.pl/dermedic-szampon-kojacy-do-skory-nadwrazliwej-300ml-000000000000303801.html
2,beBIO Ewa Chodakowska,29,"Aqua, Sodium Coco-Sulfate, Cocamidopropyl Betaine, Glycerin, Camellia Sinensis Leaf Extract, Phyllanthus Emblica Fruit Extract, Bisabolol, Fructose, Urea, Maltose, Sodium PCA, Trehalose, Allantoin, Sodium Hyaluronate, Glucose, Lactobacillus/Arundinaria Gigantea Ferment Filtrate, Leuconostoc/Radish Root Ferment Filtrate, Guar Hydroxypropyltrimonium Chloride, Pentylene Glycol, Sodium Chloride, Sodium Lactate, Maris Sal (Sea Salt), Citric Acid, Lactic Acid, Sodium Hydroxide, Sodium Benzoate, Potassium Sorbate, Parfum, Benzyl Salicylate, Hexyl Cinnamal, Limonene, Linalool.",https://www.hebe.pl/bebio-normalizujacy-szampon-do-wlosow-przetluszczajacych-sie-300-ml-000000000000409882.html
3,Sessio Hair Vege Cocktail,17,"Aqua, Sodium Lauroyl Methyl Isethionate, Cocamidopropyl Betaine, Mangifera Indica Fruit Extract, Carum Petroselinum Extract,  Polyquaternium-10, Glycerin, Phenoxyethanol, Caprylyl Glycol,Parfum, Polysorbate 20, , Sodium Chloride, Citric Acid, Sodium Benzoate, Potassium Sorbate.",https://www.hebe.pl/sessio-odzywczy-szampon-do-wlosow-z-ekstraktem-z-mango-300-g-000000000000364652.html
4,Yumi Malinowe Nawilżenie,22,"Aqua, Sodium Coco-Sulfate, Cocamidopropyl Betaine, Lauryl Glucoside, Aloe Barbadensis Leaf Juice, Rubus Idaeus Fruit Extract, Glycerin, Lysine, Glycine, Hydrogenated Vegetable Glycerides Citrate, Vitis Vinifera Fruit Extract, Pyrus Communis Fruit Extract, Citrus Grandis Fruit Extract, Coco-Glucoside, Glyceryl Oleate, Glucose, Urea, Allantoin, Glutamic Acid, Sodium PCA, Propylene Glycol, Tocopherol, Gluconolactone, Hydroxypropyl Guar Hydroxypropyltrimonium Chloride, Lactic Acid, Disodium EDTA, Citric Acid, Sodium Chloride, Parfum, Sodium Benzoate, Potassium Sorbate.",https://www.hebe.pl/yumi-nawilzajacy-szampon-do-wlosow-300-ml-000000000000407623.html
5,Sielanka Dziewczyna jak malina,8,"Aqua, Sodium Laureth Sulfate, Cocamidopropyl Betaine, Hydrolyzed Keratin, Rubus Idaeus (Raspberry) Seed Oil, Triticum Vulgare Germ Extract, Ocimum Basilicum Hairy Root Culture Extract, Raphanus Sativus Extract, Allantoin, Helianthus Annuus (Sunflower) Seed Oil, Rubus Idaeus (Raspberry) Fruit Extract, BHT, Ascorbyl Pamitate, Guar Hydroxypropyltrimonium Chloride, Citric Acid, Sodium Benzoate, Potassium Sorbate, Alcohol, Parfum, Cl 16035.",https://www.hebe.pl/sielanka-szampon-do-wlosow-zniszczonych-400-ml-000000000000411520.html
6,Sielanka Leśna Jeżyna,8,"Aqua, Sodium Laureth Sulfate, Cocamidopropyl Betaine, Allantoin, Rubus Fruticosus (Blackberry) Seed Oil, Helianthus Annuus (Sunflower) Seed Oil, Rubus Idaeus (Raspberry) Fruit Extract, Rubus Fruticosus (Blackberry) Fruit Extract, Fragaria Ananassa (Strawberry) Fruit Extract, BHT, Ascorbyl Palmitate, Polyquaternium-10, Glycerin, Citrus Limon Fruit Extract, Decyl Glucoside, Citric Acid,  Styrene/Acrylates Copolymer, Acrylates Copolymer, Guar Hydroxypropyltrimonium Chloride, Sodium Benzoate, Potassium Sorbate, Sodium Chloride,  Tetrasodium EDTA, Parfum, CI 60730.",https://www.hebe.pl/sielanka-szampon-do-wlosow-blond-i-rozjasnianych-400-ml-000000000000411673.html
7,Anwen Wake It Up,37,"Aqua, Sodium Laureth Sulfate, Coco-Glucoside, Propanediol, Polysorbate 20, Gluconolactone, Acacia Senegal Gum, Xanthan Gum, Cetrimonium Chloride, Ficin, Caffeine, Lactobacillus/Pear Juice Ferment Filtrate, Bacillus Ferment, Coffea Arabica Seed Extract, Dipotassium Glycyrrhizate, Disodium EDTA, Glycerin, Butylene Glycol, Propylene Glycol, Sodium Benzoate, Calcium Gluconate, Citric Acid, Parfum.",https://www.hebe.pl/anwen-enzymatyczny-szampon-kawowy-do-wlosow-200-ml-000000000000383157.html
8,L'Oréal Paris Elseve Hyaluron Plump,14,1239839 G5 - INGREDIENTS:  AQUA / WATER • SODIUM LAURETH SULFATE • GLYCOL DISTEARATE • SODIUM CHLORIDE • COCAMIDOPROPYL BETAINE • DIMETHICONE • CI 60730 / EXT. VIOLET 2 • GUAR HYDROXYPROPYLTRIMONIUM CHLORIDE • COCAMIDE MEA • COCO-BETAINE • SODIUM BENZOATE • SODIUM HYDROXIDE • SODIUM HYALURONATE • STEARETH-6 • PHENOXYETHANOL • ACETIC ACID • PEG-100 STEARATE • TRIDECETH-10 • TRIDECETH-3 • SALICYLIC ACID • LIMONENE • FUMARIC ACID • AMODIMETHICONE • CARBOMER • CITRIC ACID • HEXYLENE GLYCOL • PARFUM / FRAGRANCE (F.I.L. Z70045709/1).,https://www.hebe.pl/loreal-paris-nawilzajacy-szampon-do-wlosow-400-ml-000000000000410264.html
9,Pharmaceris H H-Stimupurin,62,"Aqua (Water), Sodium Myreth Sulfate, Cocamidopropyl Betaine, Glycerin, Acrylates Copolymer, Panthenol, Betaine, PEG-7 Glyceryl Cocoate, Coco-Glucoside, Parfum (Fragrance), Hydroxyacetophenone, Glycol Distearate, Polyquaternium-10, Laureth-2, PEG/PPG-120/10 Trimethylolpropane Trioleate, Guar Hydroxypropyltrimonium Chloride, Sodium Cocoyl Glutamate, Caffeine, Sodium Carbonate, Maltodextrin, Dicaprylyl Ether, Ethylhexylglycerin, Lauryl Alcohol, Glyceryl Oleate, Glyceryl Stearate, Hydroxyethylcellulose, Disodium EDTA, Citric Acid, Xanthan Gum, Glyceryl Behenate, Urea, Pentylene Glycol, Disodium Phosphate, Pyridoxine HCl, Niacinamide, Polyglyceryl-3 Methylglucose Distearate, Hydrolyzed Yeast Protein, Allantoin, Threonine, Cholesterol, Biotin, Sodium Chloride, Potassium Chloride, Potassium Phosphate, SH-Polypeptide-32, Phenoxyethanol, Benzoic Acid, Dehydroacetic Acid, Potassium Sorbate.",https://www.hebe.pl/pharmaceris-specjalistyczny-szampon-stymulujacy-wzrost-wlosow-pobudza-odrastanie-wlosow-i-ich-zageszczenie-250-ml-000000000000257870.html
